# x	y	u	v	flags	mask
3.7402e+00	1.6784e+00	2.0133e+00	1.9900e-01	0.0000e+00	0.0000e+00
4.0303e+00	1.6784e+00	2.3022e+00	7.7783e-01	0.0000e+00	0.0000e+00
4.3203e+00	1.6784e+00	2.5936e+00	1.1315e+00	0.0000e+00	0.0000e+00
4.6104e+00	1.6784e+00	2.5141e+00	1.2232e+00	0.0000e+00	0.0000e+00
4.9005e+00	1.6784e+00	2.6578e+00	1.0979e+00	0.0000e+00	0.0000e+00
5.1906e+00	1.6784e+00	2.7771e+00	7.0415e-01	0.0000e+00	0.0000e+00
5.4807e+00	1.6784e+00	2.8199e+00	-1.5905e-01	0.0000e+00	0.0000e+00
5.7708e+00	1.6784e+00	2.9636e+00	-4.2470e-01	0.0000e+00	0.0000e+00
6.0609e+00	1.6784e+00	2.7922e+00	-8.9398e-01	0.0000e+00	0.0000e+00
6.3510e+00	1.6784e+00	2.6097e+00	-8.2266e-01	0.0000e+00	0.0000e+00
6.6411e+00	1.6784e+00	2.4942e+00	-6.7146e-01	0.0000e+00	0.0000e+00
6.9312e+00	1.6784e+00	2.4227e+00	-4.8968e-01	0.0000e+00	0.0000e+00
7.2213e+00	1.6784e+00	2.1148e+00	-4.9608e-01	0.0000e+00	0.0000e+00
7.5114e+00	1.6784e+00	2.2199e+00	7.5470e-02	0.0000e+00	0.0000e+00
7.8015e+00	1.6784e+00	2.2117e+00	1.8980e-01	0.0000e+00	0.0000e+00
8.0916e+00	1.6784e+00	2.1137e+00	4.3425e-01	0.0000e+00	0.0000e+00
8.3817e+00	1.6784e+00	2.0822e+00	5.0957e-01	0.0000e+00	0.0000e+00
8.6718e+00	1.6784e+00	2.1803e+00	3.3229e-01	0.0000e+00	0.0000e+00
8.9619e+00	1.6784e+00	2.2272e+00	3.5062e-01	0.0000e+00	0.0000e+00
9.2520e+00	1.6784e+00	2.3816e+00	2.0878e-01	0.0000e+00	0.0000e+00
9.5421e+00	1.6784e+00	2.4927e+00	8.3664e-03	0.0000e+00	0.0000e+00
9.8322e+00	1.6784e+00	2.4535e+00	-1.9566e-01	0.0000e+00	0.0000e+00
1.0122e+01	1.6784e+00	2.5934e+00	-1.6183e-01	0.0000e+00	0.0000e+00
1.0412e+01	1.6784e+00	2.4583e+00	-2.2181e-01	0.0000e+00	0.0000e+00
1.0702e+01	1.6784e+00	2.5273e+00	-1.8960e-01	0.0000e+00	0.0000e+00
1.0993e+01	1.6784e+00	2.3367e+00	-2.0264e-01	0.0000e+00	0.0000e+00
1.1283e+01	1.6784e+00	2.4423e+00	-1.2406e-01	0.0000e+00	0.0000e+00
1.1573e+01	1.6784e+00	2.2212e+00	7.2634e-03	0.0000e+00	0.0000e+00
1.1863e+01	1.6784e+00	2.3404e+00	1.3742e-01	0.0000e+00	0.0000e+00
1.2153e+01	1.6784e+00	2.4376e+00	1.0295e-01	0.0000e+00	0.0000e+00
2.5901e-01	1.3883e+00	2.5016e+00	1.1005e-01	1.0000e+00	0.0000e+00
5.4911e-01	1.3883e+00	-2.5837e-01	-4.7836e-01	0.0000e+00	0.0000e+00
8.3920e-01	1.3883e+00	-3.2709e-01	-2.0924e-01	0.0000e+00	0.0000e+00
1.1293e+00	1.3883e+00	-1.9183e-01	4.9743e-01	0.0000e+00	0.0000e+00
1.4194e+00	1.3883e+00	-3.1518e-02	1.0080e+00	0.0000e+00	0.0000e+00
1.7095e+00	1.3883e+00	1.0368e+00	6.8397e-01	0.0000e+00	0.0000e+00
1.9996e+00	1.3883e+00	2.0306e+00	-4.7929e-01	0.0000e+00	0.0000e+00
2.2897e+00	1.3883e+00	2.3546e+00	-1.2572e+00	0.0000e+00	0.0000e+00
2.5798e+00	1.3883e+00	2.4836e+00	-1.2495e+00	0.0000e+00	0.0000e+00
2.8699e+00	1.3883e+00	2.3418e+00	-1.2038e+00	0.0000e+00	0.0000e+00
3.1600e+00	1.3883e+00	2.0371e+00	-9.7890e-01	0.0000e+00	0.0000e+00
3.4501e+00	1.3883e+00	2.0442e+00	-4.6561e-01	0.0000e+00	0.0000e+00
3.7402e+00	1.3883e+00	2.2860e+00	4.3685e-01	0.0000e+00	0.0000e+00
4.0303e+00	1.3883e+00	2.3737e+00	1.0503e+00	0.0000e+00	0.0000e+00
4.3203e+00	1.3883e+00	2.4234e+00	1.2691e+00	0.0000e+00	0.0000e+00
4.6104e+00	1.3883e+00	2.3680e+00	1.2398e+00	0.0000e+00	0.0000e+00
4.9005e+00	1.3883e+00	2.4523e+00	1.1170e+00	0.0000e+00	0.0000e+00
5.1906e+00	1.3883e+00	2.2986e+00	6.6486e-01	0.0000e+00	0.0000e+00
5.4807e+00	1.3883e+00	2.4162e+00	-1.0797e-01	0.0000e+00	0.0000e+00
5.7708e+00	1.3883e+00	2.5031e+00	-7.4788e-01	0.0000e+00	0.0000e+00
6.0609e+00	1.3883e+00	2.5103e+00	-9.2286e-01	0.0000e+00	0.0000e+00
6.3510e+00	1.3883e+00	2.4062e+00	-9.3310e-01	0.0000e+00	0.0000e+00
6.6411e+00	1.3883e+00	2.2112e+00	-8.7076e-01	0.0000e+00	0.0000e+00
6.9312e+00	1.3883e+00	2.1985e+00	-7.0367e-01	0.0000e+00	0.0000e+00
7.2213e+00	1.3883e+00	2.1048e+00	-4.5417e-01	0.0000e+00	0.0000e+00
7.5114e+00	1.3883e+00	2.0622e+00	-8.8733e-03	0.0000e+00	0.0000e+00
7.8015e+00	1.3883e+00	2.1908e+00	2.9790e-01	0.0000e+00	0.0000e+00
8.0916e+00	1.3883e+00	2.0864e+00	3.9824e-01	0.0000e+00	0.0000e+00
8.3817e+00	1.3883e+00	2.2399e+00	5.2081e-01	0.0000e+00	0.0000e+00
8.6718e+00	1.3883e+00	2.0666e+00	5.5559e-01	0.0000e+00	0.0000e+00
8.9619e+00	1.3883e+00	2.1588e+00	5.6041e-01	0.0000e+00	0.0000e+00
9.2520e+00	1.3883e+00	2.4159e+00	1.2835e-01	1.0000e+00	0.0000e+00
9.5421e+00	1.3883e+00	2.1429e+00	1.1328e-02	0.0000e+00	0.0000e+00
9.8322e+00	1.3883e+00	2.2415e+00	-2.0957e-01	0.0000e+00	0.0000e+00
1.0122e+01	1.3883e+00	2.2670e+00	-2.9995e-01	0.0000e+00	0.0000e+00
1.0412e+01	1.3883e+00	2.2676e+00	-2.8806e-01	0.0000e+00	0.0000e+00
1.0702e+01	1.3883e+00	2.3211e+00	-2.7517e-01	0.0000e+00	0.0000e+00
1.0993e+01	1.3883e+00	2.2480e+00	-3.0401e-01	0.0000e+00	0.0000e+00
1.1283e+01	1.3883e+00	2.2667e+00	6.8756e-02	0.0000e+00	0.0000e+00
1.1573e+01	1.3883e+00	2.2067e+00	3.6359e-02	0.0000e+00	0.0000e+00
1.1863e+01	1.3883e+00	2.2649e+00	9.8447e-03	0.0000e+00	0.0000e+00
1.2153e+01	1.3883e+00	2.1971e+00	5.5622e-02	0.0000e+00	0.0000e+00
2.5901e-01	1.0982e+00	2.5007e+00	7.2880e-02	1.0000e+00	0.0000e+00
5.4911e-01	1.0982e+00	-6.9390e-02	-6.3750e-01	0.0000e+00	0.0000e+00
8.3920e-01	1.0982e+00	-1.3527e-01	-8.9790e-02	0.0000e+00	0.0000e+00
1.1293e+00	1.0982e+00	2.4253e-01	6.3191e-01	0.0000e+00	0.0000e+00
1.4194e+00	1.0982e+00	1.0223e+00	1.4237e+00	0.0000e+00	0.0000e+00
1.7095e+00	1.0982e+00	5.9447e-01	1.2609e+00	0.0000e+00	0.0000e+00
1.9996e+00	1.0982e+00	8.2203e-01	4.7548e-01	0.0000e+00	0.0000e+00
2.2897e+00	1.0982e+00	1.5754e+00	-9.1925e-01	0.0000e+00	0.0000e+00
2.5798e+00	1.0982e+00	1.9118e+00	-1.2670e+00	0.0000e+00	0.0000e+00
2.8699e+00	1.0982e+00	1.9708e+00	-1.2789e+00	0.0000e+00	0.0000e+00
3.1600e+00	1.0982e+00	2.0830e+00	-9.2559e-01	0.0000e+00	0.0000e+00
3.4501e+00	1.0982e+00	2.5366e+00	-2.1939e-01	0.0000e+00	0.0000e+00
3.7402e+00	1.0982e+00	2.6333e+00	6.3357e-01	0.0000e+00	0.0000e+00
4.0303e+00	1.0982e+00	2.8333e+00	1.1383e+00	0.0000e+00	0.0000e+00
4.3203e+00	1.0982e+00	2.6724e+00	1.2060e+00	0.0000e+00	0.0000e+00
4.6104e+00	1.0982e+00	2.4020e+00	1.0876e+00	0.0000e+00	0.0000e+00
4.9005e+00	1.0982e+00	2.3649e+00	9.2420e-01	0.0000e+00	0.0000e+00
5.1906e+00	1.0982e+00	2.0421e+00	6.0069e-01	0.0000e+00	0.0000e+00
5.4807e+00	1.0982e+00	2.1711e+00	-1.4807e-01	0.0000e+00	0.0000e+00
5.7708e+00	1.0982e+00	2.0233e+00	-7.7776e-01	0.0000e+00	0.0000e+00
6.0609e+00	1.0982e+00	2.2167e+00	-8.8025e-01	0.0000e+00	0.0000e+00
6.3510e+00	1.0982e+00	2.1031e+00	-9.6599e-01	0.0000e+00	0.0000e+00
6.6411e+00	1.0982e+00	2.2494e+00	-9.1023e-01	0.0000e+00	0.0000e+00
6.9312e+00	1.0982e+00	2.2347e+00	-6.3651e-01	0.0000e+00	0.0000e+00
7.2213e+00	1.0982e+00	2.0991e+00	-4.1732e-01	0.0000e+00	0.0000e+00
7.5114e+00	1.0982e+00	2.2580e+00	1.8710e-02	0.0000e+00	0.0000e+00
7.8015e+00	1.0982e+00	2.2330e+00	3.3719e-01	0.0000e+00	0.0000e+00
8.0916e+00	1.0982e+00	2.4228e+00	2.2339e-01	0.0000e+00	0.0000e+00
8.3817e+00	1.0982e+00	2.2831e+00	4.9138e-01	0.0000e+00	0.0000e+00
8.6718e+00	1.0982e+00	2.1993e+00	4.7808e-01	0.0000e+00	0.0000e+00
8.9619e+00	1.0982e+00	2.1867e+00	2.7692e-01	0.0000e+00	0.0000e+00
9.2520e+00	1.0982e+00	2.1833e+00	2.2051e-01	0.0000e+00	0.0000e+00
9.5421e+00	1.0982e+00	2.0819e+00	4.7578e-02	0.0000e+00	0.0000e+00
9.8322e+00	1.0982e+00	2.2493e+00	-5.3431e-02	0.0000e+00	0.0000e+00
1.0122e+01	1.0982e+00	2.1858e+00	-2.9511e-02	0.0000e+00	0.0000e+00
1.0412e+01	1.0982e+00	2.1772e+00	-3.4367e-01	0.0000e+00	0.0000e+00
1.0702e+01	1.0982e+00	2.1987e+00	-4.5459e-01	0.0000e+00	0.0000e+00
1.0993e+01	1.0982e+00	2.2547e+00	-1.6504e-01	0.0000e+00	0.0000e+00
1.1283e+01	1.0982e+00	2.1946e+00	-1.0359e-01	0.0000e+00	0.0000e+00
1.1573e+01	1.0982e+00	2.2950e+00	-6.6979e-02	0.0000e+00	0.0000e+00
1.1863e+01	1.0982e+00	2.2937e+00	5.0688e-02	0.0000e+00	0.0000e+00
1.2153e+01	1.0982e+00	2.2202e+00	7.0066e-02	0.0000e+00	0.0000e+00
2.5901e-01	8.0812e-01	3.7250e+00	-1.1261e+00	0.0000e+00	0.0000e+00
5.4911e-01	8.0812e-01	2.0002e+00	-1.5791e-01	0.0000e+00	0.0000e+00
8.3920e-01	8.0812e-01	2.9833e+00	1.7181e-01	0.0000e+00	0.0000e+00
