# x	y	u	v	flags	mask
1.8500e+01	1.2500e-01	8.5412e-01	-1.6780e-02	1.0000e+00	0.0000e+00
1.2500e-01	2.5000e-01	1.0571e+00	-1.0778e-01	0.0000e+00	0.0000e+00
2.5000e-01	2.5000e-01	1.0564e+00	-1.0032e-01	0.0000e+00	0.0000e+00
3.7500e-01	2.5000e-01	1.0640e+00	-1.0301e-01	1.0000e+00	0.0000e+00
5.0000e-01	2.5000e-01	1.0489e+00	-8.5290e-02	0.0000e+00	0.0000e+00
6.2500e-01	2.5000e-01	1.0602e+00	-8.4340e-02	0.0000e+00	0.0000e+00
7.5000e-01	2.5000e-01	1.0685e+00	-7.4084e-02	0.0000e+00	0.0000e+00
8.7500e-01	2.5000e-01	1.0813e+00	-7.0683e-02	0.0000e+00	0.0000e+00
1.0000e+00	2.5000e-01	1.0914e+00	-5.9378e-02	0.0000e+00	0.0000e+00
1.1250e+00	2.5000e-01	1.0979e+00	-5.6928e-02	0.0000e+00	0.0000e+00
1.2500e+00	2.5000e-01	1.0994e+00	-5.0285e-02	0.0000e+00	0.0000e+00
1.3750e+00	2.5000e-01	1.0845e+00	-2.1580e-02	0.0000e+00	0.0000e+00
1.5000e+00	2.5000e-01	1.0849e+00	-1.1380e-02	0.0000e+00	0.0000e+00
1.6250e+00	2.5000e-01	1.1078e+00	-1.2392e-02	0.0000e+00	0.0000e+00
1.7500e+00	2.5000e-01	1.1227e+00	-1.5540e-02	0.0000e+00	0.0000e+00
1.8750e+00	2.5000e-01	1.1019e+00	-1.1147e-02	0.0000e+00	0.0000e+00
2.0000e+00	2.5000e-01	1.1144e+00	1.2581e-02	1.0000e+00	0.0000e+00
2.1250e+00	2.5000e-01	1.1149e+00	2.7058e-02	1.0000e+00	0.0000e+00
2.2500e+00	2.5000e-01	1.1288e+00	3.8924e-02	0.0000e+00	0.0000e+00
2.3750e+00	2.5000e-01	1.1164e+00	6.1026e-02	0.0000e+00	0.0000e+00
2.5000e+00	2.5000e-01	1.1071e+00	8.0615e-02	0.0000e+00	0.0000e+00
2.6250e+00	2.5000e-01	1.0875e+00	8.6209e-02	0.0000e+00	0.0000e+00
2.7500e+00	2.5000e-01	1.0858e+00	1.0838e-01	0.0000e+00	0.0000e+00
2.8750e+00	2.5000e-01	1.0637e+00	1.2699e-01	0.0000e+00	0.0000e+00
3.0000e+00	2.5000e-01	1.0431e+00	1.3993e-01	0.0000e+00	0.0000e+00
3.1250e+00	2.5000e-01	1.0228e+00	1.5139e-01	0.0000e+00	0.0000e+00
3.2500e+00	2.5000e-01	1.0135e+00	1.5356e-01	1.0000e+00	0.0000e+00
3.3750e+00	2.5000e-01	1.0003e+00	1.4120e-01	0.0000e+00	0.0000e+00
3.5000e+00	2.5000e-01	9.6753e-01	1.4712e-01	0.0000e+00	0.0000e+00
3.6250e+00	2.5000e-01	9.4069e-01	1.5711e-01	0.0000e+00	0.0000e+00
3.7500e+00	2.5000e-01	9.2412e-01	1.5141e-01	0.0000e+00	0.0000e+00
3.8750e+00	2.5000e-01	9.0857e-01	1.4079e-01	0.0000e+00	0.0000e+00
4.0000e+00	2.5000e-01	8.9518e-01	1.4854e-01	1.0000e+00	0.0000e+00
4.1250e+00	2.5000e-01	8.6754e-01	1.3804e-01	0.0000e+00	0.0000e+00
4.2500e+00	2.5000e-01	8.6815e-01	1.3501e-01	1.0000e+00	0.0000e+00
4.3750e+00	2.5000e-01	8.5719e-01	1.1539e-01	0.0000e+00	0.0000e+00
4.5000e+00	2.5000e-01	8.4576e-01	1.1546e-01	1.0000e+00	0.0000e+00
4.6250e+00	2.5000e-01	8.6860e-01	1.1338e-01	0.0000e+00	0.0000e+00
4.7500e+00	2.5000e-01	8.2409e-01	8.7631e-02	0.0000e+00	0.0000e+00
4.8750e+00	2.5000e-01	8.2024e-01	6.2410e-02	0.0000e+00	0.0000e+00
5.0000e+00	2.5000e-01	7.9773e-01	5.2980e-02	1.0000e+00	0.0000e+00
5.1250e+00	2.5000e-01	8.0309e-01	4.2065e-02	0.0000e+00	0.0000e+00
5.2500e+00	2.5000e-01	8.0256e-01	2.5816e-02	0.0000e+00	0.0000e+00
5.3750e+00	2.5000e-01	7.6065e-01	6.8537e-04	0.0000e+00	0.0000e+00
5.5000e+00	2.5000e-01	7.7800e-01	-3.9254e-02	0.0000e+00	0.0000e+00
5.6250e+00	2.5000e-01	7.3468e-01	-3.9439e-02	0.0000e+00	0.0000e+00
5.7500e+00	2.5000e-01	7.3955e-01	-6.4353e-02	1.0000e+00	0.0000e+00
5.8750e+00	2.5000e-01	7.6566e-01	-9.0750e-02	0.0000e+00	0.0000e+00
6.0000e+00	2.5000e-01	7.4660e-01	-1.0081e-01	0.0000e+00	0.0000e+00
6.1250e+00	2.5000e-01	7.6095e-01	-1.3887e-01	1.0000e+00	0.0000e+00
6.2500e+00	2.5000e-01	7.7239e-01	-1.6080e-01	1.0000e+00	0.0000e+00
6.3750e+00	2.5000e-01	7.9834e-01	-1.7860e-01	0.0000e+00	0.0000e+00
6.5000e+00	2.5000e-01	8.1119e-01	-1.9749e-01	0.0000e+00	0.0000e+00
6.6250e+00	2.5000e-01	8.3462e-01	-2.1798e-01	1.0000e+00	0.0000e+00
6.7500e+00	2.5000e-01	8.6035e-01	-2.2082e-01	0.0000e+00	0.0000e+00
6.8750e+00	2.5000e-01	8.9702e-01	-2.3001e-01	0.0000e+00	0.0000e+00
7.0000e+00	2.5000e-01	9.1784e-01	-2.2302e-01	0.0000e+00	0.0000e+00
7.1250e+00	2.5000e-01	9.4425e-01	-2.0694e-01	0.0000e+00	0.0000e+00
7.2500e+00	2.5000e-01	9.7016e-01	-1.9742e-01	0.0000e+00	0.0000e+00
7.3750e+00	2.5000e-01	9.8052e-01	-1.6584e-01	1.0000e+00	0.0000e+00
